ORIGEN,CUIT,DENOMINACION,PERIODO,CUOTA,COD ACTIVIDAD,DESCRIPCION CODIGO PROV,ALICUOTA,BASE IMPONIBLE,IMPUESTO Calculado Alícuota,IMPUESTO DETERMINADO (ADIB / DIU)
ADIB,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2015,01,631027,VTA PIZ/EMPAN/HAMB/PARRILL/BEBIDA-C/SERV.MESA,4,"1.542.649,10","61.705,96","61.705,96"
ADIB,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2015,02,631027,VTA PIZ/EMPAN/HAMB/PARRILL/BEBIDA-C/SERV.MESA,4,"2.826.481,24","113.059,24","113.059,24"
ADIB,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2015,03,631027,VTA PIZ/EMPAN/HAMB/PARRILL/BEBIDA-C/SERV.MESA,4,"2.819.790,62","112.791,62","112.791,62"
ADIB,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2015,04,631027,VTA PIZ/EMPAN/HAMB/PARRILL/BEBIDA-C/SERV.MESA,4,"2.904.493,66","116.179,74","116.179,74"
ADIB,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2015,05,631027,VTA PIZ/EMPAN/HAMB/PARRILL/BEBIDA-C/SERV.MESA,4,"3.039.687,52","121.587,50","121.587,50"
ADIB,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2015,06,631027,VTA PIZ/EMPAN/HAMB/PARRILL/BEBIDA-C/SERV.MESA,4,"3.072.099,48","122.883,98","122.883,98"
ADIB,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2015,07,631027,VTA PIZ/EMPAN/HAMB/PARRILL/BEBIDA-C/SERV.MESA,4,"4.323.380,30","172.935,22","172.935,22"
ADIB,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2015,08,631027,VTA PIZ/EMPAN/HAMB/PARRILL/BEBIDA-C/SERV.MESA,4,"3.765.954,38","150.638,18","150.638,18"
ADIB,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2015,09,631027,VTA PIZ/EMPAN/HAMB/PARRILL/BEBIDA-C/SERV.MESA,4,"3.520.353,40","140.814,14","140.814,14"
DIU,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2015,10,631035,VTA BEBIDA.S/ESPECT.C/SERV.MESA/MOSTR.BAR/ETC,4,"3.813.516,78","152.540,68","152.540,68"
DIU,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2015,11,631035,VTA BEBIDA.S/ESPECT.C/SERV.MESA/MOSTR.BAR/ETC,4,"3.539.666,38","141.586,66","141.586,66"
DIU,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2015,12,631035,VTA BEBIDA.S/ESPECT.C/SERV.MESA/MOSTR.BAR/ETC,4,"4.424.690,56","176.987,62","176.987,62"
DIU,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2016,01,631035,VTA BEBIDA.S/ESPECT.C/SERV.MESA/MOSTR.BAR/ETC,"4,5","1.080.982,40","48.644,21","48.644,21"
DIU,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2016,02,631035,VTA BEBIDA.S/ESPECT.C/SERV.MESA/MOSTR.BAR/ETC,"4,5","1.939.863,64","87.293,86","87.293,86"
DIU,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2016,03,631035,VTA BEBIDA.S/ESPECT.C/SERV.MESA/MOSTR.BAR/ETC,"4,5","1.993.691,57","89.716,12","89.716,12"
DIU,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2016,04,631035,VTA BEBIDA.S/ESPECT.C/SERV.MESA/MOSTR.BAR/ETC,"4,5","2.104.711,51","94.712,02","94.712,02"
DIU,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2016,05,631035,VTA BEBIDA.S/ESPECT.C/SERV.MESA/MOSTR.BAR/ETC,"4,5","2.139.892,75","96.295,17","96.295,17"
DIU,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2016,06,631035,VTA BEBIDA.S/ESPECT.C/SERV.MESA/MOSTR.BAR/ETC,"4,5","2.344.531,33","105.503,91","105.503,91"
DIU,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2016,07,631035,VTA BEBIDA.S/ESPECT.C/SERV.MESA/MOSTR.BAR/ETC,"4,5","3.202.960,26","144.133,21","144.133,21"
