Nº;MES;DIRIGIDA A;TIPO;DETALLE;;;;;;;;;;;;;;;;;;;;;;;
1;2;GESTION INTERNA;SUGERENCIA;la unica sugerencia, es un poco mas de celeridad en la resolucion de tramites;;;;;;;;;;;;;;;;;;;;;;;
2;2;ATENCION CONTRIBUYENTE;QUEJA;llevo 90 minutos al teléfono y nadie atiende, pésima gestión.;;;;;;;;;;;;;;;;;;;;;;;
3;2;ATENCION CONTRIBUYENTE;QUEJA;es imposible comunicarse con ustedes y resolver los problemas!!!!;;;;;;;;;;;;;;;;;;;;;;;
4;2;ATENCION CONTRIBUYENTE;QUEJA;nunca atienden en el 148 ni contestan de manera rápida los tramites electronicos. un desastre.;;;;;;;;;;;;;;;;;;;;;;;
5;2;GESTION INTERNA;SUGERENCIA;mejorar tiempos de respuesta de los trámites solicitados o expedientes presentados.;;;;;;;;;;;;;;;;;;;;;;;
6;2;GESTION INTERNA;QUEJA;mucha demora en resolver;;;;;;;;;;;;;;;;;;;;;;;
7;2;SISTEMAS;SUGERENCIA;mejorar los tramites digitales.;;;;;;;;;;;;;;;;;;;;;;;
8;2;CATASTRO;RECLAMO;acceso a profesionales del derecho al aplicativo nsit, es sumamente necesario;;;;;;;;;;;;;;;;;;;;;;;
9;2;SISTEMAS;QUEJA;un desastre para personas mayores. una vergüenza de gobierno. ;;;;;;;;;;;;;;;;;;;;;;;
10;2;SISTEMAS;RECLAMO;es difícil al comienzo lleva horas para poder acceder al sitio correcto;;;;;;;;;;;;;;;;;;;;;;;
11;2;GESTION INTERNA;QUEJA;no pude tener repuesta de un expediente iniciado el 14/02/2020 ex 2020 00916719 gdemza atm. ó pv 2020 00916723 gdemza atm;;;;;;;;;;;;;;;;;;;;;;;
12;2;ATENCION CONTRIBUYENTE;QUEJA;no responde en forma rapida los email y no atienden o no saben como solucionar problemas el personal en la agencia;;;;;;;;;;;;;;;;;;;;;;;
13;2;SISTEMAS;RECLAMO;sugiero que el blanqueo de clave no sea con trasmisión al correo orque a veces es la de un contador o correo de otra persona que no se puede contactar para volver a rehabilitar los servicios;;;;;;;;;;;;;;;;;;;;;;;
14;2;SISTEMAS;RECLAMO;no es posible descargar nevamente las tasas cero ingresos brutos generadas previamente en días anteriores.;;;;;;;;;;;;;;;;;;;;;;;
15;2;SISTEMAS;RECLAMO;deberían especificar que trámite es on line o presencial;;;;;;;;;;;;;;;;;;;;;;;
16;2;SISTEMAS;SUGERENCIA;que brinden otros medios de comunicación ;;;;;;;;;;;;;;;;;;;;;;;
17;2;ATENCION CONTRIBUYENTE;QUEJA;no entiendo por qué motivo no atienden presencialmente para solucionar problemas, estuve 2 horas intentando comunicarme al 148 y llevo más de un mes tratando de sellar unos contratos...;;;;;;;;;;;;;;;;;;;;;;;
18;2;SISTEMAS;SUGERENCIA;cuando alguien quiere iniciar un tramite por algo especifico que no te permite debería haber una opción de varios para que se puedan realizar las presentaciones por ejemplo en el área de catastro por una omisión de alta, me dice que no lo permite por que mi cuit no esta habilitada;;;;;;;;;;;;;;;;;;;;;;;
19;2;ATENCION CONTRIBUYENTE;QUEJA;muy completa la pagina, por este reclamo que hice, fui el día 04-02-21, a la sucursal atm, del departamento tunuyán, y un funcionario masculino me atendió de muy mala manera, y me dijo que no se podía hacer nada, que había perdido el dinero del pago erróneo que hice y que tenia que buscar al titular del dominio al que le hice el pago erróneo y que arreglara con el,  para que me devolviera el pago,  luego una funcionaria mujer del mismo lugar me informo que podía reclamar generando un expediente electrónico. gracias. ;;;;;;;;;;;;;;;;;;;;;;;
20;2;SISTEMAS;QUEJA;arreglen tasa cero, no se puede imprimir una vez tramitada. hay un cartel que aparece y dice que sólo funciona con explorer, no es cierto.;;;;;;;;;;;;;;;;;;;;;;;
21;2;SISTEMAS;QUEJA;no se puede imprimir bien el detalle de deuda de ingresos brutos ;;;;;;;;;;;;;;;;;;;;;;;
22;2;SISTEMAS;SUGERENCIA;mas didactica e intuituva;;;;;;;;;;;;;;;;;;;;;;;
23;2;SISTEMAS;FELICITACIONES;muchas gracias por permitirme hacer el trámite por este medio. ;;;;;;;;;;;;;;;;;;;;;;;
24;2;GESTION INTERNA;QUEJA;el tiempo que se toman para procesar los pedidos de sellados de ordenes de compra es excesivo, cuando se hacía presencialmente era muchísimo mas eficiente. no entiendo por que un trámite digital puede tardar una semana. ;;;;;;;;;;;;;;;;;;;;;;;
25;2;GESTION INTERNA;VARIOS;espero pronta resolución de mi situación;;;;;;;;;;;;;;;;;;;;;;;
26;2;GESTION INTERNA;QUEJA;si serian tan amables de resolver un poco mas rapidos los exptes yo tengo uno pendiente desde noviembre del 2020 y aun no esta informado.----mientras que los libre deuda son bastantes agiles en enviarlos, asi que en eso mis felicitaciones.-;;;;;;;;;;;;;;;;;;;;;;;
27;2;SISTEMAS;SUGERENCIA;en algun tramite la pagina es un poco complicada;;;;;;;;;;;;;;;;;;;;;;;
28;2;SISTEMAS;SUGERENCIA;los requisitos de los tramites debieran estar claros ;;;;;;;;;;;;;;;;;;;;;;;
29;2;CATASTRO;SUGERENCIA;se debe mejorar y agilizar los exptes de catastro para tener dinamica de trabajo e informacion. (nsit)..;;;;;;;;;;;;;;;;;;;;;;;
30;2;SISTEMAS;FELICITACIONES;muy claros;;;;;;;;;;;;;;;;;;;;;;;
31;2;GESTION INTERNA;SUGERENCIA;la respuesta de tramites normales y simples deberia ser de una forma mas rapida, o la getsion de un pago.... los telefonos y correos de los recaudadores deberian ser de facil acceso, a que uno se cansa de llamarlos y escribirles y no atienden.... se deberia unificar la boleta de deuda con el numero de expte del juzgado, en epocas de pandemia deberiamos agilizar no entorpecer.;;;;;;;;;;;;;;;;;;;;;;;
32;2;SISTEMAS;SUGERENCIA;mayor rapedez en la pagina - lo demas ok.;;;;;;;;;;;;;;;;;;;;;;;
33;2;SISTEMAS;SUGERENCIA;que me llegue un mail para los avisos de pago ;;;;;;;;;;;;;;;;;;;;;;;
34;2;;VARIOS;no puedo responder con veracidad pregunta 4 hasta no tener respuesta;;;;;;;;;;;;;;;;;;;;;;;
35;2;;VARIOS;espero me resuelvan el problema muchas gracias;;;;;;;;;;;;;;;;;;;;;;;
36;2;SISTEMAS;SUGERENCIA;creo que la página esta muy buena, sólo que no la uso demasiado, por eso me resulta un poquito complicada, pero mientras mas la uso, me resulta mas cómodo y fácil. espero no la modifiquen;;;;;;;;;;;;;;;;;;;;;;;
37;2;SISTEMAS;SUGERENCIA;tal vez mas informacion para los tramites online. ;;;;;;;;;;;;;;;;;;;;;;;
38;2;SISTEMAS;RECLAMO;"la página es realmente muy ""dura"" / podrían modernizarla un poco más y hacerla más intuitiva. incluso a mi que trabajo con computadoras e internet me resulta tediosa, no quiero imaginar si estos trámites los tuviera que hacer una persona más grande y con menos experiencia en trámites online. el resto, todo perfecto. gracias por pedir sugerencia hasta luego";;;;;;;;;;;;;;;;;;;;;;;
39;2;SISTEMAS;RECLAMO;el sellado de contrato de alquiler fue mejor el año pasado cuando se llenaba formularios, soy corredora inmobiliaria deberíamos tener un usuario diferente. a principios del año pasado había mas interacción con mensajes con la persona que me atendía, hoy no hay respuesta... cuando se requiere por alguna duda, debería haber mas atención personalizada. muchas gracias;;;;;;;;;;;;;;;;;;;;;;;
40;2;SISTEMAS;RECLAMO;me cuesta ingresar a tramites on line a veces da error de java;;;;;;;;;;;;;;;;;;;;;;;
41;2;GESTION INTERNA;SUGERENCIA;al principio no me resultó simple, luego de varios intentos lo logré. sugerencia : el sellado es carísimo para vivienda, debería ser  más accesible. ;;;;;;;;;;;;;;;;;;;;;;;
42;2;SISTEMAS;SUGERENCIA;seria bueno que sean mas claras las posibilidades de poder ver deudas y realizar plan de pago. no utilizo la tecnologia, es mas no la entiendo. siempre necesito de ayuda de alguien para poder ver mis comprobantes. gracias;;;;;;;;;;;;;;;;;;;;;;;
43;2;GESTION INTERNA;SUGERENCIA;tengo dinero a favor y otro a abonar y no hay forma de emparejarlo. ;;;;;;;;;;;;;;;;;;;;;;;
44;2;SISTEMAS;RECLAMO;ultimamente esta mucho tiempo en mantenimiento la pagina especialmente en las fecha de vtos;;;;;;;;;;;;;;;;;;;;;;;
45;2;SISTEMAS;RECLAMO;no es clara la paǵina en cuanto a realizar ciertos trámites. está llena de términos contables que el común de la gente no maneja. en mi caso pagué dos veces una cuota de un plan de pago del impuesto automotor y realicé el trámite de acuerdo a lo que me pareció correcto. sería genial que existiera documentación sobre los procedimientos a seguir.;;;;;;;;;;;;;;;;;;;;;;;
46;2;SISTEMAS;SUGERENCIA;si bien el sistema de trámites online ha resuelto problemas, la página es muy confusa a la hora de consultar los expedientes.;;;;;;;;;;;;;;;;;;;;;;;
47;2;GESTION INTERNA;SUGERENCIA;muy extenso el tiempo para que se resuelva un tramite, por ejemplo sellado de un documento de licitación, se pueden perder trabajos por esta demora.;;;;;;;;;;;;;;;;;;;;;;;
