,P7,ingles
0,la unica sugerencia es un poco mas de celeridad en la resolucion de tramites,The only suggestion is a bit more celerity in the resolution of procedures
1,llevo 90 minutos al telefono y nadie atiende pesima gestion,I have 90 minutes to the phone and nobody attends Pesima Management
2,es imposible comunicarse con ustedes y resolver los problemas,It is impossible to communicate with you and solve the problems
3,nunca atienden en el 148 ni contestan de manera rapida los tramites electronicos un desastre,They never attend at 148 or quickly answer electronic procedures a disaster
4,mejorar tiempos de respuesta de los tramites solicitados o expedientes presentados,Improve times of response from the requested procedures or files presented
5,mucha demora en resolver,A lot of delay in solving
6,mejorar los tramites digitales,Improve digital procedures
7,acceso a profesionales del derecho al aplicativo nsit es sumamente necesario,Access to professionals of the right to the NSIT application is extremely necessary
8,un desastre para personas mayores una verguenza de gobierno ,A disaster for elderly a gauge embarrassment
9,es dificil al comienzo lleva horas para poder acceder al sitio correcto,It is difficult at the beginning it takes hours to be able to access the right place
10,no pude tener repuesta de un expediente iniciado el 14/02/2020 ex 2020 00916719 gdemza atm o pv 2020 00916723 gdemza atm,I could not have a file of a file initiated on 02/14/2020 ex 2020 00916719 GDemza ATM or PV 2020 00916723 GDemza ATM
11,no responde en forma rapida los email y no atienden o no saben como solucionar problemas el personal en la agencia,does not respond quickly emails and do not attend or do not know how to solve problems in the agency
12,sugiero que el blanqueo de clave no sea con trasmision al correo orque a veces es la de un contador o correo de otra persona que no se puede contactar para volver a rehabilitar los servicios,"I suggest that the key laundering is not with transmission to the mail, sometimes it is that of another person counter or mail that can not be contacted to rehabilitate services"
13,no es posible descargar nevamente las tasas cero ingresos brutos generadas previamente en dias anteriores,it is not possible to download the zero rates previously generated previously generated in previous days
14,"deberian especificar que tramite es on line o presencial
","they should specify that it is on line or face-to-face
"
15,que brinden otros medios de comunicacion ,who give other means of communication
16,no entiendo por que motivo no atienden presencialmente para solucionar problemas estuve 2 horas intentando comunicarme al 148 y llevo mas de un mes tratando de sellar unos contratos,I do not understand why reason they do not face personally to solve problems I was 2 hours trying to communicate at 148 and I have been trying to seal some contracts
17,cuando alguien quiere iniciar un tramite por algo especifico que no te permite deberia haber una opcion de varios para que se puedan realizar las presentaciones por ejemplo en el area de catastro por una omision de alta me dice que no lo permite por que mi cuit no esta habilitada,"When someone wants to start a procedure for something specific that does not allow you, there should be an option of several so that the presentations can be made for example in the cadastre area by a high omission, it tells me that it does not allow it because my cuit is not enabled."
18,"deberian especificar que tramite es on line o presencial
","they should specify that it is on line or face-to-face
"
19,muy completa la pagina por este reclamo que hice fui el dia 04-02-21 a la sucursal atm del departamento tunuyan y un funcionario masculino me atendio de muy mala manera y me dijo que no se podia hacer nada que habia perdido el dinero del pago erroneo que hice y que tenia que buscar al titular del dominio al que le hice el pago erroneo y que arreglara con el  para que me devolviera el pago  luego una funcionaria mujer del mismo lugar me informo que podia reclamar generando un expediente electronico gracias ,very complete the page for this claim that I did I went on day 04-02-21 to the ATM branch of the Tunuyan department and a male official attemed me with very bad way and told me that nothing could be done that I lost the payment money erroneous I did and that I had to look for the owner of the domain to which I missed him and fixed with him to return the payment then a woman's official of the same place I informed me that she could claim generating an electronic file thanks
20,arreglen tasa cero no se puede imprimir una vez tramitada hay un cartel que aparece y dice que solo funciona con explorer no es cierto,arrange zero rate can not be printed once there is a poster that appears and says that it only works with explorer is not true
21,no se puede imprimir bien el detalle de deuda de ingresos brutos ,You can not prime well the gross income debt detail
22,mas didactica e intuituva,more didactic and intuituva
23,muchas gracias por permitirme hacer el tramite por este medio ,Thank you very much for allowing me to do the process by this means
24,el tiempo que se toman para procesar los pedidos de sellados de ordenes de compra es excesivo cuando se hacia presencialmente era muchisimo mas eficiente no entiendo por que un tramite digital puede tardar una semana ,The time taken to process the purchase orders sealing orders is excessive when you face facely it was much more efficient I do not understand why a digital process may take a week
25,espero pronta resolucion de mi situacion,I hope prompt resolution of my situation
26,si serian tan amables de resolver un poco mas rapidos los exptes yo tengo uno pendiente desde noviembre del 2020 y aun no esta informado----mientras que los libre deuda son bastantes agiles en enviarlos asi que en eso mis felicitaciones-,if they would be so kind to solve a little faster the expTES I have one pending since November 2020 and is not yet informed ---- while the free debt are enough agiles in sending them so on that my congratulations-
27,en algun tramite la pagina es un poco complicada,in some procedure the page is a bit complicated
28,los requisitos de los tramites debieran estar claros ,The requirements of the procedures should be clear
29,se debe mejorar y agilizar los exptes de catastro para tener dinamica de trabajo e informacion nsit,Cadastre expTES should be improved and streamlined to have Dynamics of Work and Information NSIT
30,muy claros,very clear
31,la respuesta de tramites normales y simples deberia ser de una forma mas rapida o la getsion de un pago los telefonos y correos de los recaudadores deberian ser de facil acceso a que uno se cansa de llamarlos y escribirles y no atienden se deberia unificar la boleta de deuda con el numero de expte del juzgado en epocas de pandemia deberiamos agilizar no entorpecer,The response of normal and simple procedures should be more quickly or the GetSion of a payment The telephones and emails of the colleagues should be easy to access that one tires of calling them and writing them and do not attend should be unified the ballot of Debt with the EXPTE Number of the Court in Pandemic Epocas We should streamline not hinders
32,mayor rapedez en la pagina - lo demas ok,greater rapedez on the page - the rest ok
33,que me llegue un mail para los avisos de pago ,that an email arrives for payment notices
34,no puedo responder con veracidad pregunta 4 hasta no tener respuesta,I can not answer with truth Question 4 until you have no answer
35,espero me resuelvan el problema muchas gracias,I hope I solve the problem thank you very much
36,creo que la pagina esta muy buena solo que no la uso demasiado por eso me resulta un poquito complicada pero mientras mas la uso me resulta mas comodo y facil espero no la modifiquen,"I think the page is very good only that I do not use it too much, that's why I find a little complicated but the more I use it more comfortable and easy I hope you do not modify it"
37,tal vez mas informacion para los tramites online ,Perhaps more information for online procedures
38,la pagina es realmente muy dura / podrian modernizarla un poco mas y hacerla mas intuitiva incluso a mi que trabajo con computadoras e internet me resulta tediosa no quiero imaginar si estos tramites los tuviera que hacer una persona mas grande y con menos experiencia en tramites online el resto todo perfecto gracias por pedir sugerencia hasta luego,the page is really very hard / could modernize it a little more and make it more intuitive even to me that I work with computers and the Internet is tedious I do not want to imagine if these processing I had to do a bigger and less experienced person in online tramites rest everything perfect thanks for asking for suggestion until later
39,el sellado de contrato de alquiler fue mejor el año pasado cuando se llenaba formularios soy corredora inmobiliaria deberiamos tener un usuario diferente a principios del año pasado habia mas interaccion con mensajes con la persona que me atendia hoy no hay respuesta cuando se requiere por alguna duda deberia haber mas atencion personalizada muchas gracias,"The rental contract seal was better last year when it was filled forms I am a broker, we should have a different user at the beginning of last year there was more interaction with messages with the person who treated me today no answer when it is required by any doubt have more personalized attention thank you very much"
40,me cuesta ingresar a tramites on line a veces da error de java,it costs me to enter on line traps sometimes it gives java error
41,al principio no me resulto simple luego de varios intentos lo logre sugerencia  el sellado es carisimo para vivienda deberia ser  mas accesible ,At first I do not meet simple after several attempts I achieve suggestion the seal is low for housing should be more accessible
42,seria bueno que sean mas claras las posibilidades de poder ver deudas y realizar plan de pago no utilizo la tecnologia es mas no la entiendo siempre necesito de ayuda de alguien para poder ver mis comprobantes gracias,It would be good that the possibilities of being able to see debts be clearer and make a payment plan I do not use technology is more I do not understand I always need help from someone to be able to see my vouchers thanks
43,tengo dinero a favor y otro a abonar y no hay forma de emparejarlo ,I have money in favor and another to pay and there is no way to pair it
44,ultimamente esta mucho tiempo en mantenimiento la pagina especialmente en las fecha de vtos,lately this time in maintenance the page especially on the date of VTOS
45,no es clara la paǵina en cuanto a realizar ciertos tramites esta llena de terminos contables que el comun de la gente no maneja en mi caso pague dos veces una cuota de un plan de pago del impuesto automotor y realice el tramite de acuerdo a lo que me parecio correcto seria genial que existiera documentacion sobre los procedimientos a seguir,The paǵin is not clear about making certain procedures is full of accounting terms that the common people do not handle in my case pay twice a fee of an automotive tax pay plan and perform the process according to what I It seemed correct would be great that there was documentation about the procedures to follow
46,si bien el sistema de tramites online ha resuelto problemas la pagina es muy confusa a la hora de consultar los expedientes,While the online processing system has solved problems the page is very confusing when consulting the records
47,muy extenso el tiempo para que se resuelva un tramite por ejemplo sellado de un documento de licitacion se pueden perder trabajos por esta demora,"Very extensive time for a process to be resolved, for example sealing of a tender document, work may be lost by this delay"
