ORIGEN,CUIT,DENOMINACION,PERIODO,CUOTA,COD ACTIVIDAD,DESCRIPCION CODIGO PROV,ALICUOTA,BASE IMPONIBLE,IMPUESTO Calculado Alícuota,IMPUESTO DETERMINADO (ADIB / DIU)
ADIB,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2015,01,631027,VTA PIZ/EMPAN/HAMB/PARRILL/BEBIDA-C/SERV.MESA,4,1542649.10,61705.96,61705.96
ADIB,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2015,02,631027,VTA PIZ/EMPAN/HAMB/PARRILL/BEBIDA-C/SERV.MESA,4,2826481.24,113059.24,113059.24
ADIB,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2015,03,631027,VTA PIZ/EMPAN/HAMB/PARRILL/BEBIDA-C/SERV.MESA,4,2819790.62,112791.62,112791.62
ADIB,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2015,04,631027,VTA PIZ/EMPAN/HAMB/PARRILL/BEBIDA-C/SERV.MESA,4,2904493.66,116179.74,116179.74
ADIB,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2015,05,631027,VTA PIZ/EMPAN/HAMB/PARRILL/BEBIDA-C/SERV.MESA,4,3039687.52,121587.50,121587.50
ADIB,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2015,06,631027,VTA PIZ/EMPAN/HAMB/PARRILL/BEBIDA-C/SERV.MESA,4,3072099.48,122883.98,122883.98
ADIB,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2015,07,631027,VTA PIZ/EMPAN/HAMB/PARRILL/BEBIDA-C/SERV.MESA,4,4323380.30,172935.22,172935.22
ADIB,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2015,08,631027,VTA PIZ/EMPAN/HAMB/PARRILL/BEBIDA-C/SERV.MESA,4,3765954.38,150638.18,150638.18
ADIB,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2015,09,631027,VTA PIZ/EMPAN/HAMB/PARRILL/BEBIDA-C/SERV.MESA,4,3520353.40,140814.14,140814.14
DIU,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2015,10,631035,VTA BEBIDA.S/ESPECT.C/SERV.MESA/MOSTR.BAR/ETC,4,3813516.78,152540.68,152540.68
DIU,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2015,11,631035,VTA BEBIDA.S/ESPECT.C/SERV.MESA/MOSTR.BAR/ETC,4,3539666.38,141586.66,141586.66
DIU,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2015,12,631035,VTA BEBIDA.S/ESPECT.C/SERV.MESA/MOSTR.BAR/ETC,4,4424690.56,176987.62,176987.62
DIU,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2016,01,631035,VTA BEBIDA.S/ESPECT.C/SERV.MESA/MOSTR.BAR/ETC,4.5,1080982.40,48644.21,48644.21
DIU,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2016,02,631035,VTA BEBIDA.S/ESPECT.C/SERV.MESA/MOSTR.BAR/ETC,4.5,1939863.64,87293.86,87293.86
DIU,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2016,03,631035,VTA BEBIDA.S/ESPECT.C/SERV.MESA/MOSTR.BAR/ETC,4.5,1993691.57,89716.12,89716.12
DIU,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2016,04,631035,VTA BEBIDA.S/ESPECT.C/SERV.MESA/MOSTR.BAR/ETC,4.5,2104711.51,94712.02,94712.02
DIU,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2016,05,631035,VTA BEBIDA.S/ESPECT.C/SERV.MESA/MOSTR.BAR/ETC,4.5,2139892.75,96295.17,96295.17
DIU,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2016,06,631035,VTA BEBIDA.S/ESPECT.C/SERV.MESA/MOSTR.BAR/ETC,4.5,2344531.33,105503.91,105503.91
DIU,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2016,07,631035,VTA BEBIDA.S/ESPECT.C/SERV.MESA/MOSTR.BAR/ETC,4.5,3202960.26,144133.21,144133.21
DIU,30538596112,PIZZERIA Y FIAMBRERIA CAPRI S.R.L.,2016,08,631035,VTA BEBIDA.S/ESPECT.C/SERV.MESA/MOSTR.BAR/ETC,4.5,2615855.28,117713.49,117713.49
